,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG,Severe Bacterial Blight,Mild Bacterial Blight,"['data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_146.JPG', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST1_096.jpg']","['Mild Blast', 'Severe Tungro', 'Severe Bacterial Blight', 'Mild Tungro', 'Mild Bacterial Blight', 'Severe Blast', 'Mild Tungro', 'Severe Blast']",Severe Tungro,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_077.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST3_059.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg']","['Severe Tungro', 'Mild Blast', 'Severe Blast', 'Severe Tungro']",,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT2_262.jpg']","['Severe Brownspot', 'Mild Bacterial Blight']",Healthy,['data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg'],['Healthy'],,[],[]
1,data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg,Mild Brownspot,Mild Bacterial Blight,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_045.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG']","['Severe Bacterial Blight', 'Healthy', 'Mild Bacterial Blight', 'Severe Tungro', 'Mild Bacterial Blight', 'Severe Tungro', 'Severe Bacterial Blight', 'Severe Bacterial Blight']",Mild Tungro,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg']","['Severe Tungro', 'Severe Bacterial Blight', 'Mild Brownspot', 'Mild Blast']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg']","['Mild Brownspot', 'Mild Brownspot']",Mild Tungro,['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg'],['Mild Brownspot'],Severe Blast,[],[]
2,data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG,Severe Tungro,Mild Blast,"['data/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST8_099.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_092.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT2_262.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG']","['Mild Blast', 'Healthy', 'Severe Brownspot', 'Mild Blast', 'Mild Brownspot', 'Mild Brownspot', 'Mild Bacterial Blight', 'Mild Tungro']",Severe Bacterial Blight,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190420_200435.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST1_084.jpg']","['Severe Bacterial Blight', 'Severe Tungro', 'Healthy', 'Severe Blast']",Severe Blast,"['data/severity-based-rice-disease/train/Healthy/IMG_20190419_145027.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST4_049.JPG']","['Healthy', 'Severe Blast']",,['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT1_042.jpg'],['Severe Bacterial Blight'],Severe Tungro,[],[]
3,data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg,Mild Bacterial Blight,Healthy,"['data/severity-based-rice-disease/train/Healthy/IMG_20190419_145027.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_075.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST1_096.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg']","['Healthy', 'Severe Bacterial Blight', 'Severe Tungro', 'Mild Bacterial Blight', 'Mild Bacterial Blight', 'Severe Blast', 'Severe Blast', 'Severe Tungro']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_016.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg']","['Mild Brownspot', 'Severe Blast', 'Severe Blast', 'Healthy']",Mild Bacterial Blight,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_060.jpg']","['Mild Bacterial Blight', 'Severe Brownspot']",Mild Tungro,['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG'],['Mild Tungro'],Severe Bacterial Blight,[],[]
4,data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg,Severe Tungro,Severe Bacterial Blight,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_129.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_089.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_034.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg']","['Severe Brownspot', 'Severe Tungro', 'Severe Brownspot', 'Severe Brownspot', 'Mild Blast', 'Severe Brownspot', 'Severe Bacterial Blight', 'Mild Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_274 - Copy.JPG', 'data/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg']","['Mild Tungro', 'Mild Blast', 'Mild Bacterial Blight', 'Mild Brownspot']",Mild Brownspot,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg']","['Mild Brownspot', 'Mild Bacterial Blight']",Severe Tungro,['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_125.JPG'],['Mild Tungro'],Healthy,[],[]
5,data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT1_011.jpg,Severe Brownspot,Mild Tungro,"['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_075.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg']","['Mild Tungro', 'Severe Tungro', 'Severe Bacterial Blight', 'Mild Brownspot', 'Severe Blast', 'Severe Bacterial Blight', 'Mild Blast', 'Healthy']",Severe Bacterial Blight,"['data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_205.JPG', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg']","['Severe Bacterial Blight', 'Severe Bacterial Blight', 'Severe Tungro', 'Mild Brownspot']",Severe Tungro,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_024.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST2_019.jpg']","['Severe Tungro', 'Mild Blast']",Severe Blast,['data/severity-based-rice-disease/train/Severe Blast/BLAST1_096.jpg'],['Severe Blast'],Mild Bacterial Blight,[],[]
6,data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg,Severe Bacterial Blight,,,,Severe Bacterial Blight,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG']","['Mild Bacterial Blight', 'Healthy', 'Healthy', 'Mild Tungro']",Mild Blast,"['data/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG']","['Mild Blast', 'Mild Tungro']",,['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_128.jpg'],['Mild Brownspot'],Severe Bacterial Blight,[],[]
7,data/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_008.jpg,Mild Brownspot,Healthy,"['data/severity-based-rice-disease/train/Severe Blast/BLAST3_059.JPG', 'data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_146.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg', 'data/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg']","['Severe Blast', 'Healthy', 'Severe Brownspot', 'Mild Blast', 'Severe Tungro', 'Severe Bacterial Blight', 'Severe Tungro', 'Severe Bacterial Blight']",Healthy,"['data/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST3_059.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST1_103.jpg']","['Healthy', 'Mild Bacterial Blight', 'Severe Blast', 'Severe Blast']",Healthy,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg', 'data/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg']","['Mild Bacterial Blight', 'Healthy']",Severe Blast,['data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_136.JPG'],['Mild Tungro'],Severe Bacterial Blight,[],[]
8,data/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg,Healthy,Healthy,"['data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST4_049.JPG', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_045.jpg', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Mild Blast/BLAST1_066.JPG', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_080.jpg']","['Mild Bacterial Blight', 'Severe Blast', 'Mild Tungro', 'Severe Tungro', 'Mild Brownspot', 'Mild Bacterial Blight', 'Mild Blast', 'Mild Bacterial Blight']",Healthy,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST6_094.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG']","['Severe Brownspot', 'Severe Blast', 'Mild Bacterial Blight', 'Mild Tungro']",Severe Blast,"['data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg']","['Severe Tungro', 'Severe Blast']",Healthy,['data/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg'],['Severe Blast'],Mild Blast,[],[]
9,data/severity-based-rice-disease/train/Healthy/IMG_20190424_131045.jpg,Healthy,Mild Tungro,"['data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_230.JPG', 'data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO2_086.jpg', 'data/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG']","['Severe Brownspot', 'Severe Blast', 'Severe Brownspot', 'Severe Brownspot', 'Severe Tungro', 'Mild Brownspot', 'Severe Tungro', 'Mild Tungro']",Healthy,"['data/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg', 'data/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg', 'data/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_072.jpg', 'data/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg']","['Mild Brownspot', 'Mild Bacterial Blight', 'Severe Tungro', 'Severe Brownspot']",,"['data/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg', 'data/severity-based-rice-disease/train/Severe Blast/BLAST5_124.jpg']","['Severe Blast', 'Severe Blast']",Healthy,['data/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg'],['Healthy'],Healthy,[],[]
