,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/deepweeds/images/20170728-152004-1.jpg,Prickly acacia,Parthenium,"['data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20171025-080031-3.jpg', 'data/deepweeds/images/20170714-120304-3.jpg', 'data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20180112-072618-2.jpg']","['Parthenium', 'Parkinsonia', 'Parthenium', 'Lantana', 'Snake weed', 'Snake weed', 'Negative', 'Negative']",Prickly acacia,"['data/deepweeds/images/20170727-164330-1.jpg', 'data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20170729-092929-2.jpg']","['Prickly acacia', 'Rubber vine', 'Prickly acacia', 'Prickly acacia']",,"['data/deepweeds/images/20180109-105153-1.jpg', 'data/deepweeds/images/20171109-091107-1.jpg']","['Negative', 'Rubber vine']",Negative,['data/deepweeds/images/20180112-072618-2.jpg'],['Negative'],Prickly acacia,[],[]
1,data/deepweeds/images/20170210-142422-0.jpg,Snake weed,Prickly acacia,"['data/deepweeds/images/20171109-074327-1.jpg', 'data/deepweeds/images/20180112-081137-2.jpg', 'data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20170906-105453-1.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20171025-100510-2.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Rubber vine', 'Negative', 'Prickly acacia', 'Parthenium', 'Negative', 'Chinee apple', 'Parthenium', 'Snake weed']",Rubber vine,"['data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170729-092929-2.jpg', 'data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170920-095313-3.jpg']","['Chinee apple', 'Prickly acacia', 'Negative', 'Parkinsonia']",Negative,"['data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20170729-090327-1.jpg']","['Chinee apple', 'Prickly acacia']",Parthenium,['data/deepweeds/images/20171025-074729-2.jpg'],['Parthenium'],Lantana,[],[]
2,data/deepweeds/images/20170920-130439-2.jpg,Parkinsonia,,"['data/deepweeds/images/20170706-112624-0.jpg', 'data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170410-160127-0.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20170714-142559-2.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171109-091335-3.jpg']","['Snake weed', 'Negative', 'Snake weed', 'Chinee apple', 'Parthenium', 'Lantana', 'Negative', 'Rubber vine']",Chinee apple,"['data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20180125-100709-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Chinee apple', 'Snake weed', 'Negative', 'Parthenium']",Negative,"['data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20170714-120022-3.jpg']","['Rubber vine', 'Lantana']",Negative,['data/deepweeds/images/20171109-093143-1.jpg'],['Rubber vine'],Snake weed,[],[]
3,data/deepweeds/images/20170714-120648-3.jpg,Lantana,Snake weed,"['data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170729-092929-2.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20171109-093602-2.jpg', 'data/deepweeds/images/20170714-120022-3.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20170811-162102-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Negative', 'Prickly acacia', 'Parthenium', 'Rubber vine', 'Lantana', 'Siam weed', 'Chinee apple', 'Snake weed']",Rubber vine,"['data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20170304-124640-0.jpg', 'data/deepweeds/images/20171113-142059-2.jpg']","['Negative', 'Rubber vine', 'Chinee apple', 'Siam weed']",Chinee apple,"['data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Chinee apple', 'Snake weed']",Rubber vine,['data/deepweeds/images/20171109-093204-2.jpg'],['Rubber vine'],Siam weed,[],[]
4,data/deepweeds/images/20170920-172144-1.jpg,Parkinsonia,Parthenium,"['data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20171109-093204-2.jpg', 'data/deepweeds/images/20170127-101927-0.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20170906-095420-4.jpg', 'data/deepweeds/images/20170126-095837-0.jpg', 'data/deepweeds/images/20170920-130439-2.jpg', 'data/deepweeds/images/20170410-154004-0.jpg']","['Parthenium', 'Rubber vine', 'Lantana', 'Rubber vine', 'Parthenium', 'Lantana', 'Parkinsonia', 'Chinee apple']",Snake weed,"['data/deepweeds/images/20170630-154706-0.jpg', 'data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20171025-082114-2.jpg']","['Snake weed', 'Prickly acacia', 'Rubber vine', 'Parthenium']",Rubber vine,"['data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20170405-160013-0.jpg']","['Rubber vine', 'Chinee apple']",Parkinsonia,['data/deepweeds/images/20180112-072356-2.jpg'],['Negative'],Parthenium,[],[]
5,data/deepweeds/images/20171109-091335-3.jpg,Rubber vine,,"['data/deepweeds/images/20170811-104825-2.jpg', 'data/deepweeds/images/20170729-090327-1.jpg', 'data/deepweeds/images/20171113-142059-2.jpg', 'data/deepweeds/images/20170210-142647-0.jpg', 'data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20171102-121717-1.jpg', 'data/deepweeds/images/20171113-124517-3.jpg', 'data/deepweeds/images/20170210-142422-0.jpg']","['Chinee apple', 'Prickly acacia', 'Siam weed', 'Snake weed', 'Lantana', 'Parkinsonia', 'Siam weed', 'Snake weed']",Chinee apple,"['data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20171025-082133-3.jpg', 'data/deepweeds/images/20171102-103736-2.jpg']","['Chinee apple', 'Chinee apple', 'Parthenium', 'Parkinsonia']",,"['data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20170727-113159-1.jpg']","['Lantana', 'Prickly acacia']",Snake weed,['data/deepweeds/images/20170627-104853-0.jpg'],['Snake weed'],Negative,[],[]
6,data/deepweeds/images/20170729-092929-2.jpg,Prickly acacia,,"['data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170706-130402-3.jpg', 'data/deepweeds/images/20170714-140705-1.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20170913-121432-3.jpg', 'data/deepweeds/images/20170405-160013-0.jpg', 'data/deepweeds/images/20180112-072618-2.jpg', 'data/deepweeds/images/20170210-142422-0.jpg']","['Negative', 'Lantana', 'Lantana', 'Snake weed', 'Parthenium', 'Chinee apple', 'Negative', 'Snake weed']",Negative,"['data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170920-110443-2.jpg', 'data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20170210-142848-0.jpg']","['Negative', 'Parkinsonia', 'Siam weed', 'Snake weed']",Parthenium,"['data/deepweeds/images/20170913-110133-3.jpg', 'data/deepweeds/images/20171109-073321-3.jpg']","['Rubber vine', 'Rubber vine']",Parthenium,['data/deepweeds/images/20171025-074729-2.jpg'],['Parthenium'],Parthenium,[],[]
7,data/deepweeds/images/20170630-154442-0.jpg,Snake weed,Negative,"['data/deepweeds/images/20180119-105242-2.jpg', 'data/deepweeds/images/20170728-120256-2.jpg', 'data/deepweeds/images/20171113-142238-2.jpg', 'data/deepweeds/images/20170718-132000-2.jpg', 'data/deepweeds/images/20171025-075255-3.jpg', 'data/deepweeds/images/20170811-163650-1.jpg', 'data/deepweeds/images/20171025-082114-2.jpg', 'data/deepweeds/images/20180109-105153-1.jpg']","['Negative', 'Prickly acacia', 'Siam weed', 'Chinee apple', 'Parthenium', 'Chinee apple', 'Parthenium', 'Negative']",Lantana,"['data/deepweeds/images/20170127-101415-0.jpg', 'data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20171109-093551-2.jpg', 'data/deepweeds/images/20171113-092801-1.jpg']","['Lantana', 'Snake weed', 'Rubber vine', 'Rubber vine']",Parthenium,"['data/deepweeds/images/20170405-160013-0.jpg', 'data/deepweeds/images/20170728-120256-2.jpg']","['Chinee apple', 'Prickly acacia']",,['data/deepweeds/images/20170920-095313-3.jpg'],['Parkinsonia'],Parthenium,[],[]
8,data/deepweeds/images/20170304-124640-0.jpg,Chinee apple,Snake weed,"['data/deepweeds/images/20170714-110205-1.jpg', 'data/deepweeds/images/20170727-113159-1.jpg', 'data/deepweeds/images/20170920-101034-2.jpg', 'data/deepweeds/images/20171109-073321-3.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20170210-142848-0.jpg', 'data/deepweeds/images/20170920-111229-2.jpg', 'data/deepweeds/images/20170630-154442-0.jpg']","['Lantana', 'Prickly acacia', 'Parkinsonia', 'Rubber vine', 'Snake weed', 'Snake weed', 'Parkinsonia', 'Snake weed']",Rubber vine,"['data/deepweeds/images/20170210-142422-0.jpg', 'data/deepweeds/images/20171113-133118-3.jpg', 'data/deepweeds/images/20171109-091107-1.jpg', 'data/deepweeds/images/20171025-074729-2.jpg']","['Snake weed', 'Siam weed', 'Rubber vine', 'Parthenium']",Prickly acacia,"['data/deepweeds/images/20170728-153152-2.jpg', 'data/deepweeds/images/20171113-140251-1.jpg']","['Prickly acacia', 'Siam weed']",Siam weed,['data/deepweeds/images/20171113-135507-3.jpg'],['Siam weed'],Negative,[],[]
9,data/deepweeds/images/20170811-162102-1.jpg,Chinee apple,Parthenium,"['data/deepweeds/images/20171109-194851-1.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20170718-132237-2.jpg', 'data/deepweeds/images/20171113-092801-1.jpg', 'data/deepweeds/images/20171109-093143-1.jpg', 'data/deepweeds/images/20171025-082439-1.jpg', 'data/deepweeds/images/20180109-080158-1.jpg', 'data/deepweeds/images/20170714-120022-3.jpg']","['Rubber vine', 'Snake weed', 'Snake weed', 'Rubber vine', 'Rubber vine', 'Chinee apple', 'Negative', 'Lantana']",,"['data/deepweeds/images/20171212-095841-3.jpg', 'data/deepweeds/images/20170811-130004-1.jpg', 'data/deepweeds/images/20170718-132737-2.jpg', 'data/deepweeds/images/20171121-084910-1.jpg']","['Negative', 'Chinee apple', 'Snake weed', 'Siam weed']",Siam weed,"['data/deepweeds/images/20171113-135152-1.jpg', 'data/deepweeds/images/20171025-075255-3.jpg']","['Siam weed', 'Parthenium']",Negative,['data/deepweeds/images/20180112-072356-2.jpg'],['Negative'],Lantana,[],[]
