,0,1,# of Shots 8,Example Paths 8,Example Categories 8,# of Shots 4,Example Paths 4,Example Categories 4,# of Shots 2,Example Paths 2,Example Categories 2,# of Shots 1,Example Paths 1,Example Categories 1,# of Shots 0,Example Paths 0,Example Categories 0
0,data/Soybean-PNAS/Iron Deficiency Chlorosis/51027.png,Iron Deficiency Chlorosis,Iron Deficiency Chlorosis,"['data/Soybean-PNAS/Bacterial Blight/56102.png', 'data/Soybean-PNAS/Septoria Brown Spot/9046.png', 'data/Soybean-PNAS/Potassium Deficiency/21086.png', 'data/Soybean-PNAS/Septoria Brown Spot/14001.png', 'data/Soybean-PNAS/Herbicide Injury/13947.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/55057.png', 'data/Soybean-PNAS/Sudden Death Syndrome/40297.png', 'data/Soybean-PNAS/Sudden Death Syndrome/40993.png']","['Bacterial Blight', 'Septoria Brown Spot', 'Potassium Deficiency', 'Septoria Brown Spot', 'Herbicide Injury', 'Frogeye Leaf Spot', 'Sudden Death Syndrome', 'Sudden Death Syndrome']",Iron Deficiency Chlorosis,"['data/Soybean-PNAS/Septoria Brown Spot/50488.png', 'data/Soybean-PNAS/Herbicide Injury/13032.png', 'data/Soybean-PNAS/Potassium Deficiency/40059.png', 'data/Soybean-PNAS/Septoria Brown Spot/12420.png']","['Septoria Brown Spot', 'Herbicide Injury', 'Potassium Deficiency', 'Septoria Brown Spot']",Potassium Deficiency,"['data/Soybean-PNAS/Sudden Death Syndrome/11755.png', 'data/Soybean-PNAS/Bacterial Blight/27331.png']","['Sudden Death Syndrome', 'Bacterial Blight']",Healthy,['data/Soybean-PNAS/Herbicide Injury/53564.png'],['Herbicide Injury'],Potassium Deficiency,[],[]
1,data/Soybean-PNAS/Healthy/28732.png,Healthy,Healthy,"['data/Soybean-PNAS/Healthy/10256.png', 'data/Soybean-PNAS/Herbicide Injury/50640.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/55057.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/19961.png', 'data/Soybean-PNAS/Potassium Deficiency/45767.png', 'data/Soybean-PNAS/Septoria Brown Spot/14432.png', 'data/Soybean-PNAS/Bacterial Blight/27331.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/27491.png']","['Healthy', 'Herbicide Injury', 'Frogeye Leaf Spot', 'Iron Deficiency Chlorosis', 'Potassium Deficiency', 'Septoria Brown Spot', 'Bacterial Blight', 'Frogeye Leaf Spot']",Healthy,"['data/Soybean-PNAS/Potassium Deficiency/1553.png', 'data/Soybean-PNAS/Septoria Brown Spot/14001.png', 'data/Soybean-PNAS/Bacterial Blight/27331.png', 'data/Soybean-PNAS/Bacterial Blight/36772.png']","['Potassium Deficiency', 'Septoria Brown Spot', 'Bacterial Blight', 'Bacterial Blight']",Healthy,"['data/Soybean-PNAS/Bacterial Blight/52318.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/51027.png']","['Bacterial Blight', 'Iron Deficiency Chlorosis']",Healthy,['data/Soybean-PNAS/Frogeye Leaf Spot/50435.png'],['Frogeye Leaf Spot'],Healthy,[],[]
2,data/Soybean-PNAS/Sudden Death Syndrome/11755.png,Sudden Death Syndrome,Bacterial Blight,"['data/Soybean-PNAS/Sudden Death Syndrome/50904.png', 'data/Soybean-PNAS/Septoria Brown Spot/13297.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/21275.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/39925.png', 'data/Soybean-PNAS/Sudden Death Syndrome/50820.png', 'data/Soybean-PNAS/Septoria Brown Spot/39438.png', 'data/Soybean-PNAS/Bacterial Blight/45278.png', 'data/Soybean-PNAS/Bacterial Blight/41415.png']","['Sudden Death Syndrome', 'Septoria Brown Spot', 'Frogeye Leaf Spot', 'Frogeye Leaf Spot', 'Sudden Death Syndrome', 'Septoria Brown Spot', 'Bacterial Blight', 'Bacterial Blight']",Bacterial Blight,"['data/Soybean-PNAS/Bacterial Pustule/57933.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/16670.png', 'data/Soybean-PNAS/Potassium Deficiency/11675.png', 'data/Soybean-PNAS/Septoria Brown Spot/39438.png']","['Bacterial Pustule', 'Iron Deficiency Chlorosis', 'Potassium Deficiency', 'Septoria Brown Spot']",Bacterial Blight,"['data/Soybean-PNAS/Bacterial Pustule/58871.png', 'data/Soybean-PNAS/Healthy/17619.png']","['Bacterial Pustule', 'Healthy']",Herbicide Injury,['data/Soybean-PNAS/Potassium Deficiency/18195.png'],['Potassium Deficiency'],Bacterial Pustule,[],[]
3,data/Soybean-PNAS/Bacterial Pustule/56951.png,Bacterial Pustule,Herbicide Injury,"['data/Soybean-PNAS/Herbicide Injury/57752.png', 'data/Soybean-PNAS/Bacterial Blight/7187.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/50435.png', 'data/Soybean-PNAS/Sudden Death Syndrome/11099.png', 'data/Soybean-PNAS/Bacterial Pustule/28574.png', 'data/Soybean-PNAS/Sudden Death Syndrome/50686.png', 'data/Soybean-PNAS/Potassium Deficiency/21086.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/1469.png']","['Herbicide Injury', 'Bacterial Blight', 'Frogeye Leaf Spot', 'Sudden Death Syndrome', 'Bacterial Pustule', 'Sudden Death Syndrome', 'Potassium Deficiency', 'Frogeye Leaf Spot']",Potassium Deficiency,"['data/Soybean-PNAS/Bacterial Pustule/43242.png', 'data/Soybean-PNAS/Healthy/28732.png', 'data/Soybean-PNAS/Bacterial Blight/45328.png', 'data/Soybean-PNAS/Septoria Brown Spot/4097.png']","['Bacterial Pustule', 'Healthy', 'Bacterial Blight', 'Septoria Brown Spot']",Iron Deficiency Chlorosis,"['data/Soybean-PNAS/Septoria Brown Spot/9046.png', 'data/Soybean-PNAS/Sudden Death Syndrome/50686.png']","['Septoria Brown Spot', 'Sudden Death Syndrome']",Healthy,['data/Soybean-PNAS/Herbicide Injury/16562.png'],['Herbicide Injury'],Healthy,[],[]
4,data/Soybean-PNAS/Sudden Death Syndrome/50904.png,Sudden Death Syndrome,Iron Deficiency Chlorosis,"['data/Soybean-PNAS/Healthy/8340.png', 'data/Soybean-PNAS/Bacterial Blight/7187.png', 'data/Soybean-PNAS/Sudden Death Syndrome/26127.png', 'data/Soybean-PNAS/Septoria Brown Spot/12420.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/12217.png', 'data/Soybean-PNAS/Herbicide Injury/10378.png', 'data/Soybean-PNAS/Potassium Deficiency/43432.png', 'data/Soybean-PNAS/Healthy/34777.png']","['Healthy', 'Bacterial Blight', 'Sudden Death Syndrome', 'Septoria Brown Spot', 'Iron Deficiency Chlorosis', 'Herbicide Injury', 'Potassium Deficiency', 'Healthy']",Potassium Deficiency,"['data/Soybean-PNAS/Potassium Deficiency/40579.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/39925.png', 'data/Soybean-PNAS/Bacterial Pustule/57933.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/50435.png']","['Potassium Deficiency', 'Frogeye Leaf Spot', 'Bacterial Pustule', 'Frogeye Leaf Spot']",Potassium Deficiency,"['data/Soybean-PNAS/Sudden Death Syndrome/50820.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/52803.png']","['Sudden Death Syndrome', 'Frogeye Leaf Spot']",Healthy,['data/Soybean-PNAS/Bacterial Blight/36772.png'],['Bacterial Blight'],Healthy,[],[]
5,data/Soybean-PNAS/Septoria Brown Spot/14432.png,Septoria Brown Spot,Bacterial Pustule,"['data/Soybean-PNAS/Frogeye Leaf Spot/27491.png', 'data/Soybean-PNAS/Herbicide Injury/16562.png', 'data/Soybean-PNAS/Sudden Death Syndrome/50820.png', 'data/Soybean-PNAS/Sudden Death Syndrome/11755.png', 'data/Soybean-PNAS/Bacterial Pustule/43242.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/35034.png', 'data/Soybean-PNAS/Potassium Deficiency/38082.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/12217.png']","['Frogeye Leaf Spot', 'Herbicide Injury', 'Sudden Death Syndrome', 'Sudden Death Syndrome', 'Bacterial Pustule', 'Frogeye Leaf Spot', 'Potassium Deficiency', 'Iron Deficiency Chlorosis']",Herbicide Injury,"['data/Soybean-PNAS/Potassium Deficiency/11675.png', 'data/Soybean-PNAS/Herbicide Injury/53564.png', 'data/Soybean-PNAS/Bacterial Pustule/28697.png', 'data/Soybean-PNAS/Septoria Brown Spot/39438.png']","['Potassium Deficiency', 'Herbicide Injury', 'Bacterial Pustule', 'Septoria Brown Spot']",Herbicide Injury,"['data/Soybean-PNAS/Herbicide Injury/57790.png', 'data/Soybean-PNAS/Bacterial Blight/43087.png']","['Herbicide Injury', 'Bacterial Blight']",Herbicide Injury,['data/Soybean-PNAS/Bacterial Pustule/28574.png'],['Bacterial Pustule'],Herbicide Injury,[],[]
6,data/Soybean-PNAS/Iron Deficiency Chlorosis/19961.png,Iron Deficiency Chlorosis,Iron Deficiency Chlorosis,"['data/Soybean-PNAS/Iron Deficiency Chlorosis/41232.png', 'data/Soybean-PNAS/Bacterial Pustule/21585.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/16670.png', 'data/Soybean-PNAS/Bacterial Pustule/28697.png', 'data/Soybean-PNAS/Septoria Brown Spot/14001.png', 'data/Soybean-PNAS/Potassium Deficiency/43432.png', 'data/Soybean-PNAS/Septoria Brown Spot/20628.png', 'data/Soybean-PNAS/Potassium Deficiency/45767.png']","['Iron Deficiency Chlorosis', 'Bacterial Pustule', 'Iron Deficiency Chlorosis', 'Bacterial Pustule', 'Septoria Brown Spot', 'Potassium Deficiency', 'Septoria Brown Spot', 'Potassium Deficiency']",Iron Deficiency Chlorosis,"['data/Soybean-PNAS/Sudden Death Syndrome/50686.png', 'data/Soybean-PNAS/Bacterial Pustule/56951.png', 'data/Soybean-PNAS/Bacterial Blight/56102.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/5977.png']","['Sudden Death Syndrome', 'Bacterial Pustule', 'Bacterial Blight', 'Frogeye Leaf Spot']",Iron Deficiency Chlorosis,"['data/Soybean-PNAS/Herbicide Injury/16562.png', 'data/Soybean-PNAS/Septoria Brown Spot/4097.png']","['Herbicide Injury', 'Septoria Brown Spot']",Iron Deficiency Chlorosis,['data/Soybean-PNAS/Potassium Deficiency/43432.png'],['Potassium Deficiency'],Iron Deficiency Chlorosis,[],[]
7,data/Soybean-PNAS/Healthy/25035.png,Healthy,Healthy,"['data/Soybean-PNAS/Healthy/10256.png', 'data/Soybean-PNAS/Potassium Deficiency/38082.png', 'data/Soybean-PNAS/Bacterial Pustule/41348.png', 'data/Soybean-PNAS/Bacterial Pustule/28574.png', 'data/Soybean-PNAS/Septoria Brown Spot/14432.png', 'data/Soybean-PNAS/Septoria Brown Spot/4539.png', 'data/Soybean-PNAS/Frogeye Leaf Spot/27491.png', 'data/Soybean-PNAS/Bacterial Blight/45278.png']","['Healthy', 'Potassium Deficiency', 'Bacterial Pustule', 'Bacterial Pustule', 'Septoria Brown Spot', 'Septoria Brown Spot', 'Frogeye Leaf Spot', 'Bacterial Blight']",Healthy,"['data/Soybean-PNAS/Frogeye Leaf Spot/50606.png', 'data/Soybean-PNAS/Bacterial Pustule/21585.png', 'data/Soybean-PNAS/Potassium Deficiency/38082.png', 'data/Soybean-PNAS/Bacterial Blight/27331.png']","['Frogeye Leaf Spot', 'Bacterial Pustule', 'Potassium Deficiency', 'Bacterial Blight']",Healthy,"['data/Soybean-PNAS/Bacterial Pustule/43242.png', 'data/Soybean-PNAS/Septoria Brown Spot/14001.png']","['Bacterial Pustule', 'Septoria Brown Spot']",Healthy,['data/Soybean-PNAS/Herbicide Injury/13947.png'],['Herbicide Injury'],Healthy,[],[]
8,data/Soybean-PNAS/Bacterial Blight/23247.png,Bacterial Blight,Bacterial Pustule,"['data/Soybean-PNAS/Septoria Brown Spot/13297.png', 'data/Soybean-PNAS/Bacterial Blight/27331.png', 'data/Soybean-PNAS/Septoria Brown Spot/39438.png', 'data/Soybean-PNAS/Herbicide Injury/9664.png', 'data/Soybean-PNAS/Potassium Deficiency/9794.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/33902.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/11036.png', 'data/Soybean-PNAS/Healthy/46508.png']","['Septoria Brown Spot', 'Bacterial Blight', 'Septoria Brown Spot', 'Herbicide Injury', 'Potassium Deficiency', 'Iron Deficiency Chlorosis', 'Iron Deficiency Chlorosis', 'Healthy']",Bacterial Pustule,"['data/Soybean-PNAS/Herbicide Injury/50640.png', 'data/Soybean-PNAS/Healthy/8397.png', 'data/Soybean-PNAS/Herbicide Injury/57790.png', 'data/Soybean-PNAS/Healthy/41774.png']","['Herbicide Injury', 'Healthy', 'Herbicide Injury', 'Healthy']",Bacterial Pustule,"['data/Soybean-PNAS/Frogeye Leaf Spot/5977.png', 'data/Soybean-PNAS/Bacterial Pustule/28697.png']","['Frogeye Leaf Spot', 'Bacterial Pustule']",Bacterial Pustule,['data/Soybean-PNAS/Frogeye Leaf Spot/27491.png'],['Frogeye Leaf Spot'],Bacterial Blight,[],[]
9,data/Soybean-PNAS/Bacterial Blight/5372.png,Bacterial Blight,Healthy,"['data/Soybean-PNAS/Septoria Brown Spot/20628.png', 'data/Soybean-PNAS/Iron Deficiency Chlorosis/11036.png', 'data/Soybean-PNAS/Bacterial Pustule/58871.png', 'data/Soybean-PNAS/Bacterial Blight/56102.png', 'data/Soybean-PNAS/Healthy/10256.png', 'data/Soybean-PNAS/Herbicide Injury/37320.png', 'data/Soybean-PNAS/Bacterial Blight/7187.png', 'data/Soybean-PNAS/Potassium Deficiency/38082.png']","['Septoria Brown Spot', 'Iron Deficiency Chlorosis', 'Bacterial Pustule', 'Bacterial Blight', 'Healthy', 'Herbicide Injury', 'Bacterial Blight', 'Potassium Deficiency']",Healthy,"['data/Soybean-PNAS/Bacterial Blight/27331.png', 'data/Soybean-PNAS/Septoria Brown Spot/4097.png', 'data/Soybean-PNAS/Potassium Deficiency/45767.png', 'data/Soybean-PNAS/Sudden Death Syndrome/40297.png']","['Bacterial Blight', 'Septoria Brown Spot', 'Potassium Deficiency', 'Sudden Death Syndrome']",Healthy,"['data/Soybean-PNAS/Potassium Deficiency/40059.png', 'data/Soybean-PNAS/Herbicide Injury/57790.png']","['Potassium Deficiency', 'Herbicide Injury']",Healthy,['data/Soybean-PNAS/Healthy/8397.png'],['Healthy'],Healthy,[],[]
